*** Config ***
RB DL #0;25
RB UL #0;25
CAPS;1
Max UE;1
Power on duration;20
Power off duration;10
UE;10

*** Scripts ***
UE ID;Name;Type;Start;Stop;Status;Result
UE #2;HTTP transfert #1;http;5;11;done;100
UE #4;UDP #0;udp;22.307;26.307;done;100
UE #4;HTTP transfert #1;http;27.307;33.307;done;100
UE #4;VOIP #2;voip;34.307;39.307;done;67.83216783216784
UE #2;VOIP #2;voip;55.739;60.739;done;58.520900321543415
UE #6;UDP #0;udp;65.535;69.535;done;100
UE #6;VOIP #2;voip;77.535;82.535;done;74.26470588235294
UE #4;HTTP transfert #1;http;89.261;95.261;done;100
UE #4;VOIP #2;voip;96.261;101.261;done;96.93654266958424
UE #1;UDP #0;udp;107.81;111.81;done;100
UE #1;VOIP #2;voip;119.81;124.81;done;44.932432432432435
UE #7;UDP #0;udp;126.303;130.303;done;100
UE #1;UDP #0;udp;144.706;148.706;done;100
UE #1;HTTP transfert #1;http;149.706;155.706;done;100
UE #1;VOIP #2;voip;156.706;161.706;done;51.45985401459854
UE #5;UDP #0;udp;166.351;170.351;done;100
UE #5;VOIP #2;voip;178.351;183.351;done;73.85786802030458
UE #2;UDP #0;udp;185.81;189.81;done;100
UE #2;HTTP transfert #1;http;190.81;196.81;done;100
UE #2;VOIP #2;voip;197.81;202.81;done;62.47086247086248
UE #6;UDP #0;udp;208.845;212.845;done;100
UE #6;HTTP transfert #1;http;213.845;219.845;done;100
UE #6;VOIP #2;voip;220.845;225.845;done;67.95180722891565
UE #3;UDP #0;udp;229.508;233.508;done;100
UE #3;HTTP transfert #1;http;234.508;240.508;done;100
UE #8;UDP #0;udp;248.987;252.987;done;100
UE #8;HTTP transfert #1;http;253.987;259.987;done;100
UE #8;VOIP #2;voip;260.987;265.987;done;60.913705583756354
UE #5;UDP #0;udp;269.999;273.999;done;100
UE #5;VOIP #2;voip;281.999;286.999;done;76.82119205298014
UE #1;UDP #0;udp;291.191;295.191;done;100
UE #1;HTTP transfert #1;http;296.191;302.191;done;100
UE #1;VOIP #2;voip;303.191;308.191;done;100
UE #4;UDP #0;udp;311.81;315.81;done;100
UE #4;HTTP transfert #1;http;316.81;322.81;done;100
UE #4;VOIP #2;voip;323.81;328.81;done;74.21686746987952
UE #8;VOIP #2;voip;341.81;346.81;done;100
UE #9;UDP #0;udp;350.657;354.657;done;100
UE #9;HTTP transfert #1;http;355.657;361.657;done;100
UE #4;UDP #0;udp;371.342;375.342;done;100
UE #4;HTTP transfert #1;http;376.342;382.342;done;100
